,account_check_status,duration_in_month,credit_history,purpose,credit_amount,savings,present_emp_since,installment_as_income_perc,personal_status_sex,other_debtors,present_res_since,property,age,other_installment_plans,housing,credits_this_bank,job,people_under_maintenance,telephone,foreign_worker
122,no checking account,12,existing credits paid back duly till now,radio/television,1768,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,real estate,24,none,rent,1,unskilled - resident,1,none,yes
123,>= 200 DM / salary assignments for at least 1 year,10,critical account/ other credits existing (not at this bank),car (new),781,... < 100 DM,.. >= 7 years,4,male : single,none,4,unknown / no property,63,none,for free,2,skilled employee / official,1,"yes, registered under the customers name ",yes
124,0 <= ... < 200 DM,18,existing credits paid back duly till now,radio/television,1924,unknown/ no savings account,... < 1 year ,4,female : divorced/separated/married,none,3,real estate,27,none,rent,1,skilled employee / official,1,none,yes
125,< 0 DM,12,critical account/ other credits existing (not at this bank),car (new),2121,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,if not A121 : building society savings agreement/ life insurance,30,none,own,2,skilled employee / official,1,none,yes
126,< 0 DM,12,existing credits paid back duly till now,domestic appliances,701,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,2,real estate,40,none,own,1,unskilled - resident,1,none,yes
127,0 <= ... < 200 DM,12,existing credits paid back duly till now,education,639,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",30,none,own,1,skilled employee / official,1,none,yes
128,0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (used),1860,... < 100 DM,unemployed,4,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",34,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
129,< 0 DM,12,critical account/ other credits existing (not at this bank),car (new),3499,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,co-applicant,2,real estate,29,none,own,2,skilled employee / official,1,none,yes
130,0 <= ... < 200 DM,48,existing credits paid back duly till now,car (new),8487,unknown/ no savings account,4 <= ... < 7 years,1,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",24,none,own,1,skilled employee / official,1,none,yes
131,< 0 DM,36,delay in paying off in the past,(vacation - does not exist?),6887,... < 100 DM,1 <= ... < 4 years,4,male : single,none,3,if not A121 : building society savings agreement/ life insurance,29,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
132,no checking account,15,existing credits paid back duly till now,radio/television,2708,... < 100 DM,... < 1 year ,2,male : single,none,3,if not A121 : building society savings agreement/ life insurance,27,bank,own,2,unskilled - resident,1,none,yes
133,no checking account,18,existing credits paid back duly till now,radio/television,1984,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,unknown / no property,47,bank,for free,2,skilled employee / official,1,none,yes
134,no checking account,60,existing credits paid back duly till now,domestic appliances,10144,100 <= ... < 500 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,4,real estate,21,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
135,no checking account,12,critical account/ other credits existing (not at this bank),domestic appliances,1240,unknown/ no savings account,.. >= 7 years,4,female : divorced/separated/married,none,2,real estate,38,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
136,no checking account,27,delay in paying off in the past,car (used),8613,.. >= 1000 DM ,1 <= ... < 4 years,2,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,none,yes
137,0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,766,500 <= ... < 1000 DM ,1 <= ... < 4 years,4,male : single,none,3,real estate,66,none,own,1,unskilled - resident,1,none,yes
138,0 <= ... < 200 DM,15,critical account/ other credits existing (not at this bank),domestic appliances,2728,unknown/ no savings account,4 <= ... < 7 years,4,male : single,guarantor,2,real estate,35,bank,own,3,skilled employee / official,1,"yes, registered under the customers name ",yes
139,>= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,domestic appliances,1881,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",44,none,rent,1,unskilled - resident,1,"yes, registered under the customers name ",yes
140,>= 200 DM / salary assignments for at least 1 year,6,existing credits paid back duly till now,car (new),709,.. >= 1000 DM ,... < 1 year ,2,male : married/widowed,none,2,real estate,27,none,own,1,unemployed/ unskilled - non-resident,1,none,no
141,0 <= ... < 200 DM,36,existing credits paid back duly till now,domestic appliances,4795,... < 100 DM,... < 1 year ,4,female : divorced/separated/married,none,1,unknown / no property,30,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
142,< 0 DM,27,existing credits paid back duly till now,domestic appliances,3416,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",27,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes
143,< 0 DM,18,existing credits paid back duly till now,radio/television,2462,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",22,none,own,1,skilled employee / official,1,none,yes
144,no checking account,21,critical account/ other credits existing (not at this bank),radio/television,2288,... < 100 DM,... < 1 year ,4,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,23,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
145,0 <= ... < 200 DM,48,all credits at this bank paid back duly,business,3566,100 <= ... < 500 DM,4 <= ... < 7 years,4,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",30,none,own,1,skilled employee / official,1,none,yes
146,< 0 DM,6,critical account/ other credits existing (not at this bank),car (new),860,... < 100 DM,.. >= 7 years,1,female : divorced/separated/married,none,4,unknown / no property,39,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
147,no checking account,12,critical account/ other credits existing (not at this bank),car (new),682,100 <= ... < 500 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,"if not A121/A122 : car or other, not in attribute 6",51,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
148,< 0 DM,36,critical account/ other credits existing (not at this bank),radio/television,5371,... < 100 DM,1 <= ... < 4 years,3,male : single,guarantor,2,if not A121 : building society savings agreement/ life insurance,28,none,own,2,skilled employee / official,1,none,yes
149,no checking account,18,critical account/ other credits existing (not at this bank),domestic appliances,1582,.. >= 1000 DM ,.. >= 7 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",46,none,own,2,skilled employee / official,1,none,yes
150,no checking account,6,existing credits paid back duly till now,domestic appliances,1346,100 <= ... < 500 DM,.. >= 7 years,2,male : single,none,4,unknown / no property,42,bank,for free,1,skilled employee / official,2,"yes, registered under the customers name ",yes
151,no checking account,10,existing credits paid back duly till now,domestic appliances,1924,... < 100 DM,1 <= ... < 4 years,1,male : single,none,4,if not A121 : building society savings agreement/ life insurance,38,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",no
152,>= 200 DM / salary assignments for at least 1 year,36,existing credits paid back duly till now,domestic appliances,5848,... < 100 DM,1 <= ... < 4 years,4,male : single,none,1,"if not A121/A122 : car or other, not in attribute 6",24,none,own,1,skilled employee / official,1,none,yes
153,0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),car (used),7758,.. >= 1000 DM ,.. >= 7 years,2,female : divorced/separated/married,none,4,unknown / no property,29,none,rent,1,skilled employee / official,1,none,yes
154,0 <= ... < 200 DM,24,delay in paying off in the past,business,6967,100 <= ... < 500 DM,4 <= ... < 7 years,4,male : single,none,4,"if not A121/A122 : car or other, not in attribute 6",36,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
155,< 0 DM,12,existing credits paid back duly till now,radio/television,1282,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",20,none,rent,1,skilled employee / official,1,none,yes
156,< 0 DM,9,critical account/ other credits existing (not at this bank),education,1288,100 <= ... < 500 DM,.. >= 7 years,3,male : single,guarantor,4,real estate,48,none,own,2,skilled employee / official,2,none,no
157,< 0 DM,12,all credits at this bank paid back duly,retraining,339,... < 100 DM,.. >= 7 years,4,male : married/widowed,none,1,"if not A121/A122 : car or other, not in attribute 6",45,bank,own,1,unskilled - resident,1,none,yes
158,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),3512,100 <= ... < 500 DM,4 <= ... < 7 years,2,male : single,none,3,"if not A121/A122 : car or other, not in attribute 6",38,bank,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
159,no checking account,6,critical account/ other credits existing (not at this bank),domestic appliances,1898,unknown/ no savings account,1 <= ... < 4 years,1,male : single,none,2,real estate,34,none,own,2,unskilled - resident,2,none,yes
160,no checking account,24,critical account/ other credits existing (not at this bank),domestic appliances,2872,100 <= ... < 500 DM,.. >= 7 years,3,male : single,none,4,real estate,36,none,own,1,skilled employee / official,2,"yes, registered under the customers name ",yes
161,no checking account,18,critical account/ other credits existing (not at this bank),car (new),1055,... < 100 DM,... < 1 year ,4,female : divorced/separated/married,none,1,if not A121 : building society savings agreement/ life insurance,30,none,own,2,skilled employee / official,1,none,yes
162,no checking account,15,existing credits paid back duly till now,repairs,1262,500 <= ... < 1000 DM ,4 <= ... < 7 years,4,male : single,none,3,if not A121 : building society savings agreement/ life insurance,36,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes
163,0 <= ... < 200 DM,10,existing credits paid back duly till now,car (new),7308,... < 100 DM,unemployed,2,male : single,none,4,unknown / no property,70,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes
164,no checking account,36,existing credits paid back duly till now,car (new),909,500 <= ... < 1000 DM ,.. >= 7 years,4,male : single,none,4,if not A121 : building society savings agreement/ life insurance,36,none,own,1,skilled employee / official,1,none,yes
165,no checking account,6,existing credits paid back duly till now,radio/television,2978,500 <= ... < 1000 DM ,1 <= ... < 4 years,1,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",32,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes
